Date,State,Positive,Negative,Pending,HospitalizedCurrently,HospitalizedCumulative,InICUcurrently,InICUcumulative,OnVentilatorCurrently,OnVentilatorCumulative,Recovered,Deaths,DataQualityGrade,LastUpdateET
20200511,IA,"12,373","65,419",,394,,152,,107,,5249,271,A+,05-11-20 00:00
20200511,ID,"2,230","29,912",,,207,,87,,,1473,67,B,05-09-20 19:00
20200511,IL,"79,007","363,418",,"4,319",,"1,248",,730,,,3459,A,05-11-20 00:00
20200511,IN,"24,627","122,061",,"1,346","4,389",452,990,213,,,1540,A+,05-10-20 23:59
20200511,KS,"7,116","46,993",,,660,,233,,101,376,158,A,05-11-20 10:00
20200511,KY,"6,440","80,483",,394,"1,757",226,758,,,2308,304,A,05-09-20 17:00
20200511,LA,"31,815","189,015",,"1,310",,,,157,,22608,2308,B,05-11-20 13:00
20200511,MA,"78,462","316,266",,"3,102","7,732",813,,,,,5108,A,05-11-20 10:00
20200511,MD,"33,373","131,407",,"1,544","6,183",585,,,,2298,1683,,05-11-20 10:00
20200511,ME,"1,462","22,092",,37,200,17,,9,,872,65,B,05-11-20 12:00
