Entity,Code,Date,DailyChangeInTotalTestsPerK
Colombia,COL,24-Mar-20,0.009
Colombia,COL,25-Mar-20,0.032
Colombia,COL,26-Mar-20,0.027
Colombia,COL,27-Mar-20,0.014
Colombia,COL,28-Mar-20,0.039
Colombia,COL,29-Mar-20,0.017
Colombia,COL,30-Mar-20,0.026
Colombia,COL,31-Mar-20,0.027
Colombia,COL,01-Apr-20,0.023
Colombia,COL,02-Apr-20,0.036
Colombia,COL,03-Apr-20,0.02
Colombia,COL,04-Apr-20,0.025
Colombia,COL,05-Apr-20,0.021
Colombia,COL,06-Apr-20,0.044
Colombia,COL,07-Apr-20,0.053
Colombia,COL,08-Apr-20,0.028
Colombia,COL,09-Apr-20,0.075
Colombia,COL,10-Apr-20,0.054
Colombia,COL,11-Apr-20,0.056
Colombia,COL,12-Apr-20,0.066
Colombia,COL,13-Apr-20,0.137
Colombia,COL,14-Apr-20,0.035
Colombia,COL,15-Apr-20,0.092
Colombia,COL,16-Apr-20,0.047
Colombia,COL,17-Apr-20,0.033
Colombia,COL,18-Apr-20,0.049
Colombia,COL,19-Apr-20,0.063
Colombia,COL,20-Apr-20,0.062
Colombia,COL,21-Apr-20,0.051
Colombia,COL,22-Apr-20,0.075
Colombia,COL,23-Apr-20,0.066
Colombia,COL,24-Apr-20,0.09
Colombia,COL,25-Apr-20,0.105
Colombia,COL,26-Apr-20,0.066
Colombia,COL,27-Apr-20,0.089
Colombia,COL,28-Apr-20,0.087
Colombia,COL,29-Apr-20,0.044
Colombia,COL,30-Apr-20,0.05
Costa Rica,CRI,11-Mar-20,0.013
Costa Rica,CRI,12-Mar-20,0.017
Costa Rica,CRI,13-Mar-20,0.017
Costa Rica,CRI,14-Mar-20,0.025
Costa Rica,CRI,15-Mar-20,0.008
Costa Rica,CRI,16-Mar-20,0.034
Costa Rica,CRI,17-Mar-20,0.022
Costa Rica,CRI,18-Mar-20,0.03
Costa Rica,CRI,19-Mar-20,0.023
Costa Rica,CRI,20-Mar-20,0.023
Costa Rica,CRI,21-Mar-20,0.029
Costa Rica,CRI,22-Mar-20,0.045
Costa Rica,CRI,23-Mar-20,0.031
Costa Rica,CRI,24-Mar-20,0.032
Costa Rica,CRI,25-Mar-20,0.006
Costa Rica,CRI,26-Mar-20,0.133
Costa Rica,CRI,27-Mar-20,0.096
Costa Rica,CRI,28-Mar-20,0.031
Costa Rica,CRI,29-Mar-20,0.044
Costa Rica,CRI,30-Mar-20,0.052
Costa Rica,CRI,31-Mar-20,0.03
Costa Rica,CRI,01-Apr-20,0.073
Costa Rica,CRI,02-Apr-20,0.026
Costa Rica,CRI,03-Apr-20,0.022
Costa Rica,CRI,04-Apr-20,0.038
Costa Rica,CRI,05-Apr-20,0.087
Costa Rica,CRI,06-Apr-20,0.052
Costa Rica,CRI,07-Apr-20,0.032
Costa Rica,CRI,08-Apr-20,0.1
Costa Rica,CRI,09-Apr-20,0.052
Costa Rica,CRI,10-Apr-20,0.03
Costa Rica,CRI,11-Apr-20,0.031
Costa Rica,CRI,12-Apr-20,0.03
Costa Rica,CRI,13-Apr-20,0.021
Costa Rica,CRI,14-Apr-20,0.015
Costa Rica,CRI,15-Apr-20,0.038
Costa Rica,CRI,16-Apr-20,0.042
Costa Rica,CRI,17-Apr-20,0.034
Costa Rica,CRI,18-Apr-20,0.045
Costa Rica,CRI,19-Apr-20,0.01
Costa Rica,CRI,20-Apr-20,0.019
Costa Rica,CRI,21-Apr-20,0.052
Costa Rica,CRI,22-Apr-20,0.059
Costa Rica,CRI,23-Apr-20,0.05
Costa Rica,CRI,24-Apr-20,0.02
Costa Rica,CRI,25-Apr-20,0.017
Costa Rica,CRI,26-Apr-20,0.007
Costa Rica,CRI,27-Apr-20,0.011
Costa Rica,CRI,28-Apr-20,0.012
Costa Rica,CRI,29-Apr-20,0.047
Costa Rica,CRI,30-Apr-20,0.021
Croatia,HRV,04-Mar-20,0.002
Croatia,HRV,05-Mar-20,0.004
Croatia,HRV,06-Mar-20,0.007
Croatia,HRV,07-Mar-20,0.004
Croatia,HRV,08-Mar-20,0.002
Croatia,HRV,09-Mar-20,0.004
Croatia,HRV,10-Mar-20,0.005
Croatia,HRV,13-Mar-20,0.017
Croatia,HRV,14-Mar-20,0.023
Croatia,HRV,15-Mar-20,0.023
Croatia,HRV,16-Mar-20,0.033
Croatia,HRV,17-Mar-20,0.056
Croatia,HRV,18-Mar-20,0.018
Croatia,HRV,19-Mar-20,0.02
Croatia,HRV,25-Mar-20,0.112
Croatia,HRV,26-Mar-20,0.144
Croatia,HRV,27-Mar-20,0.139
Croatia,HRV,28-Mar-20,0.106
Croatia,HRV,29-Mar-20,0.167
Croatia,HRV,30-Mar-20,0.123
Croatia,HRV,31-Mar-20,0.149
Croatia,HRV,01-Apr-20,0.162
Croatia,HRV,02-Apr-20,0.164
Croatia,HRV,03-Apr-20,0.219
Croatia,HRV,04-Apr-20,0.142
Croatia,HRV,05-Apr-20,0.247
Croatia,HRV,06-Apr-20,0.15
Croatia,HRV,07-Apr-20,0.209
Croatia,HRV,08-Apr-20,0.196
Croatia,HRV,09-Apr-20,0.135
Croatia,HRV,10-Apr-20,0.227
Croatia,HRV,11-Apr-20,0.263
Croatia,HRV,12-Apr-20,0.168
Croatia,HRV,13-Apr-20,0.343
Croatia,HRV,14-Apr-20,0.139
Croatia,HRV,15-Apr-20,0.218
Croatia,HRV,16-Apr-20,0.22
Croatia,HRV,17-Apr-20,0.194
Croatia,HRV,18-Apr-20,0.169
Croatia,HRV,19-Apr-20,0.618
Croatia,HRV,20-Apr-20,0.59
Croatia,HRV,23-Apr-20,0.302
Croatia,HRV,24-Apr-20,0.331
Croatia,HRV,25-Apr-20,0.171
Croatia,HRV,26-Apr-20,0.173
Croatia,HRV,27-Apr-20,0.291
